|ITEM_CODE|ITEM_NAME1                                      |ITEM_NAME2                            |VENDER_CODE|VENDER_NAME                                        |ORDER_DATE             |BUYER_CODE|BUYER_NAME    |
|240030017|PET 96T85 ! 500MM X 100M/RL                     |BASE FILM (PPA POLYESTER  FILM )      |1000572    |FUJI CHEMI CO., LTD                                |2023-03-21 00:00:00.000|233       |Passara       |
|240030018|PET  0.125MM !(500MM X 300M)                    |BASE FILM (PPA POLYESTER  FILM )      |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2023-08-09 00:00:00.000|244       |Natthakritta.O|
|240030019|3M#10K08L ! 500MM X 100M                        |BASE FILM (PPA POLYESTER FILM)        |1000905    |I-PLASTICS ASIA LTD.                               |2023-09-15 00:00:00.000|229       |Chanthri      |
|240030020|SS-70SBR-D ! 520MM X 500M                       |STIFFENER (RELEASE PAPER)             |1000765    |ITOCHU METALS CORPORATION                          |2023-12-27 00:00:00.000|229       |Chanthri      |
|240030021|03T60 ! 520MM X 102M/RL                         |STIFFENER (RELEASE PAPER)             |1000572    |FUJI CHEMI CO., LTD                                |2021-02-11 00:00:00.000|222       |Piyaporn.Pr   |
|240030022|PET 100 MICRON SIZE:500 MM.X250 M.(17.86 KG/RL) |BASE FILM(POLYESTER)                  |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2014-06-24 00:00:00.000|224       |Yoshimura     |
|240030024|PET 100 MICRON SIZE:250 MM.X250 M.(8.93 KG/RL)  |BASE FILM(POLYESTER)                  |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2014-06-24 00:00:00.000|224       |Yoshimura     |
|240030026|PET 0.075MM ! 520 MM X 500 M/RL                 |BASE FILM(POLYESTER)                  |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2020-01-31 00:00:00.000|247       |Phurita.T     |
|240030027|PET 75 MICRON SIZE:255 MM.X500 M.(13.723KG/REEL)|BASE FILM(POLYESTER)                  |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2022-12-06 00:00:00.000|247       |Phurita.T     |
|240030028|PET 23 MICRON SIZE:250 MM.X1,220 M.(09.82KG/RL) |BASE FILM(POLYESTER)                  |1005226    |BRENNTAG INGREDIENTS (THAILAND) PUBLIC CO., LTD    |2022-11-22 00:00:00.000|247       |Phurita.T     |
